Protein 1,Protein 2,relation,ACTUAL protein 1,Actual protein 2,PubMedID,Sentence
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,18955570,"GM-CSF binding studies demonstrated that cells expressing CSF2RAWT and CSF2RB rapidly bound GM-CSF and removed it from the media, whereas cells expressing CSF2RAG174R and CSF2RB or CSF2RB alone did not clear GM-CSF (Fig."
Granulocyte-macrophage colony-stimulating factor,Lymphotoxin-alpha,unknown,Granulocyte-macrophage colony-stimulating factor,Lymphotoxin-alpha,18955570,"Cotransfection of CSF2RB together with CSF2RAWT, but not with CSF2RAG174R, resulted in expression of functional GM-CSF receptors as demonstrated by GM-CSF-dependent phosphorylation of STAT5 only with the former combination (Fig."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,18955570,"Cotransfection of CSF2RB together with CSF2RAWT, but not with CSF2RAG174R, resulted in expression of functional GM-CSF receptors as demonstrated by GM-CSF-dependent phosphorylation of STAT5 only with the former combination (Fig."
Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,unknown,Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,18955570,"Cotransfection of CSF2RB together with CSF2RAWT, but not with CSF2RAG174R, resulted in expression of functional GM-CSF receptors as demonstrated by GM-CSF-dependent phosphorylation of STAT5 only with the former combination (Fig."
Granulocyte-macrophage colony-stimulating factor,Lymphotoxin-alpha,unknown,Granulocyte-macrophage colony-stimulating factor,Lymphotoxin-alpha,18955570,"Incubation of CSF2RAG174R/CSF2RB-transduced cells with higher concentrations of GM-CSF in the range of those observed in the index patient gave results similar to those obtained with primary leukocytes and clearly demonstrated a modest dose-dependent increase in STAT5 phosphorylation, which is consistent with a partial rescue of the signaling abnormality (Fig."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,18955570,"Incubation of CSF2RAG174R/CSF2RB-transduced cells with higher concentrations of GM-CSF in the range of those observed in the index patient gave results similar to those obtained with primary leukocytes and clearly demonstrated a modest dose-dependent increase in STAT5 phosphorylation, which is consistent with a partial rescue of the signaling abnormality (Fig."
Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,unknown,Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,18955570,"Incubation of CSF2RAG174R/CSF2RB-transduced cells with higher concentrations of GM-CSF in the range of those observed in the index patient gave results similar to those obtained with primary leukocytes and clearly demonstrated a modest dose-dependent increase in STAT5 phosphorylation, which is consistent with a partial rescue of the signaling abnormality (Fig."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21995445,"Based on the similar phenotype of the enlargement of the sorting endosome where recycling receptors and cargo are trapped, it is tempting to speculate that the myosin VI and Dab2 are required for efficient exit from the sorting endosome for delivery to both the recycling compartment and the late endosome, and therefore Dab2 is required at multiple steps in the endocytic pathway."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21282463,"In line with our previously published data, XPB-specific ChIP yields an increased interaction of XPB with preincision factors such as XPA and RPA in UV-irradiated cells, whereas post-incision factors, i.e., Poldelta, Lig3, and XRCC1, are virtually absent (Fig."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21282463,"As reported previously, the ratio between XRCC1 and Lig3 is not significantly altered by the UV irradiation."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,22094269,Similar results were obtained with a secreted version of firefly luciferase (Fig 2A).
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20470363,"It is interesting to note that in a search for tumor-specific markers both GLT25D1 and LH3 genes were upregulated in a large majority of human malignancies, but the biological pathway involved is unknown."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,28286024,"To investigate the relationship among ERK signaling, TCF activation, and histone modifications, TKO MEFs were reconstituted with retroviruses expressing wild-type human Elk-1 or its inactive derivative Elk-1nonA, which cannot be phosphorylated, or Elk-1DeltaFW, which can be phosphorylated but cannot recruit Mediator (Figure 2C)."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,28286024,"Taken together, these results show that the majority of TPA-induced changes in histone modifications at TSSs are TCF dependent and require ERK-induced transcriptional activation by the TCFs."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20734105,"Taken together, these results indicate that Ser-115 is necessary but not sufficient to control subcellular distribution of MK5 in response to an activated PKA pathway."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16492753,Sequences of cDNAs from rpb9Delta strains confirmed a significantly increased occurrence of transcriptional substitutions and insertions.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,24933155,"Although HA-ARHGAP22 was detectable in the immunoprecipitate as expected, little FLAG-ARHGAP22 was included in the HA-ARHGAP22 immunoprecipitate."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17562788,"Although the expression of dominant-active Rab5Q79A results in the trapping of Shiga toxin in an early endocytic compartment, indicating its transport is Rab5 dependent, this interpretation is not supported by the use of specific Rab GAPs."
C-C motif chemokine 7,Lymphotoxin-alpha,inhibits,C-C motif chemokine 7,Lymphotoxin-alpha,17562788,"Although RabGAP-5 does block EGF and transferrin trafficking, it has no effect on the transport of Shiga toxin to the Golgi (Fig."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17562788,"This suggests that although Shiga toxin trafficking is normally Rab5 independent, when dominant-active Rab5 is expressed, it becomes trapped in the enlarged early endocytic compartment created under these conditions."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17562788,"One explanation for this could be that Shiga toxin, although normally trafficking in a Rab5-independent fashion, does pass through a Rab5-positive endocytic compartment, and this can also be perturbed by the overexpression of active mutant forms of Rab5."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18840095,"The ChIP results shown in Figure 4 indicated that, despite the fact that some of the basal values obtained were above the background established by the non-specific IgG antibody, during ER stress there is no enhanced recruitment of the MED1, MED23 and CDK8 (cyclin-dependent kinase 8) Mediator subunits to the ASNS promoter at 1 h or 8 h (Figure 4B)."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,12540855,"With just one exception, the enzymes identified in the methylation of specific lysine residues on histones (histone methyltransferases) belong to the SET family."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,31431478,"Although ROCK1 associates with RhoBTB1, based on our results it is unlikely to be a target for Cul3-mediated degradation, and thus the identification of other RhoBTB1-binding proteins will be important to determine which proteins are targets for RhoBTB1/Cul3-mediated degradation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22977173,"RPA32 Ser4/Ser8 and Thr21 were phosphorylated by DNA-PK (Figure 2A-C), but not CDK, although the addition of CDK significantly enhanced phosphorylation of Thr21, consistent with in vivo results of Anantha et al.."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,22977173,"CDK phosphorylates Ser23 and Ser29 in vivo, and based on these previous results, our in vitro results, shown as slower migrating species on western blots probed with antibodies to native RPA32, most likely represent phosphorylation at Ser23 and Ser29 (Figure 2A)."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20819938,"With the rps23-1 siRNA, we observed a stronger accumulation of unprocessed 30S+1 pre-rRNA, but this result was not reproduced with two other siRNAs against the RPS23 mRNA, which otherwise efficiently affected maturation at sites A0 and 1 (unpublished data)."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21835666,"Briefly, we in vitro translate Sec22-encoding mRNA in the SGT2FLAG Deltaget3/5 extract and then immobilize the resulting Sgt2FLAG-Sec22 complexes on anti-FLAG resin."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21835666,Addition of recombinant Get3 and Get4-Get5 (a complex formed by bacterial coexpression of Get4 and Get5) results in efficient Sec22 elution from the resin in the form Get3-Sec22 complexes that are insertion competent.
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,18818768,"Phosphorylation of Npl3 at S411 in a sky1 deletion strain is reduced, but not abolished (data not shown), raising the possibility that another Npl3-specific kinase remained to be identified, and that other phosphorylation sites in Npl3 might exist."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,23300935,Fms-like tyrosine kinase 3 (Flt3) is an important growth factor receptor in hematopoiesis.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,23300935,"In this study, we analyzed the role of SLAP in signal transduction downstream of the type III receptor tyrosine kinase Flt3."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,23300935,The results show that upon ligand stimulation SLAP stably associates with Flt3 through multiple phosphotyrosine residues in Flt3.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,binds,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,23300935,SLAP constitutively interacts with oncogenic Flt3-ITD and co-localizes with Flt3 near the cell membrane.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,23300935,Depletion of SLAP expression by shRNA in Flt3-transfected Ba/F3 cells resulted in a weaker activation of FL-induced PI3K-Akt and MAPK signaling.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,23300935,Meta-analysis of microarray data from patient samples suggests that SLAP mRNA is differentially expressed in different cancers and its expression was significantly increased in patients carrying the Flt3-ITD mutation.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23300935,Meta-analysis of microarray data from patient samples suggests that SLAP mRNA is differentially expressed in different cancers and its expression was significantly increased in patients carrying the Flt3-ITD mutation.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,23300935,Meta-analysis of microarray data from patient samples suggests that SLAP mRNA is differentially expressed in different cancers and its expression was significantly increased in patients carrying the Flt3-ITD mutation.
C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,unknown,C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,18488142,"In migrating immune cells, chemokine receptors, such as the IL-8 receptor or CXCR4, are coupled to the release of Gbetagamma subunits from Gi that is critical for mediating directional chemotaxis as well as release of superoxide and other inflammatory mediators."
C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,unknown,C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,18488142,Genetic deletion of Gbetagamma-regulated PI3Kg resulted in decreased neutrophil migration and a reduction in inflammation.
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,18488142,Genetic deletion of Gbetagamma-regulated PI3Kg resulted in decreased neutrophil migration and a reduction in inflammation.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,18488142,Genetic deletion of Gbetagamma-regulated PI3Kg resulted in decreased neutrophil migration and a reduction in inflammation.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,31543423,"Although we showed that cyclin E/A-CDK activity levels in G1 are typically insufficient to hyperphosphorylate Rb in the presence of CDK4/6 inhibitors, it remained unclear whether a low level of cyclin E/A-CDK is necessary to hyperphosphorylate Rb."
